排行,名字,收益,资产,点赞
1,狙简007,-86.34%,27317.01,9
2,永远不无聊,-85.07%,29899.51,0
3,mx_****655vq,418.63%,1037276.69,52
4,Cooleader1,-39.35%,121275.93,0
5,mo_***95355g,121.58%,443169.05,1
6,褚小朱,43.82%,287657.04,0
7,宏基电脑稅,58.61%,317230.75,2
8,mx_**591fqlB,-40.62%,118760.31,0
9,专业抄底008,16.87%,233733.01,1
10,听海sy,-64.61%,70778.68,0
11,皆为序章捏,7.83%,215653.99,0
12,mx_****98797,39.8%,279622.36,0
14,189***030j_2,65.99%,331977.08,0
15,XqK3C,231.14%,662285.83,0
16,mx_*8132rv,-69.89%,60220.34,0
17,me_731219097,-53.13%,93744.32,0
18,mo_****343hf,75.81%,351615.96,0
20,mo_***247c79,-71.52%,56952.27,0
22,mo_***724mb6,67.67%,335317.29,0
23,mo_*9717fn,17.43%,234855.93,0
24,mx_**413ad8,-2.68%,194644.18,0
25,mx_262296293,49.38%,298744.97,0
26,简简单2023,-18.18%,163647.96,0
27,linshaofengE,-74.8%,50407.32,0
28,荣伯4D,46.19%,292380.93,0
29,me_793542129,123.78%,447557.36,1
30,逗逗球,-69.71%,60572.93,0
31,纸吟,-3.65%,192708.13,0
32,J8VN,27.9%,255794.68,0
33,me_588911035,59.92%,319832.94,0
34,mx_****4798d,64.99%,329982.84,0
35,me_421731598,-46.37%,107247.58,0
36,小铅球,-10.6%,178811.12,0
37,mx_****8057c,-18.96%,162074.77,1
38,我是小姨,-13.85%,172308.81,0
39,海淀烹鱼宴,-32.31%,135397.24,0
40,不起眼的小散,-38.95%,122096.01,0
41,mx_**738995,-35.47%,129030.29,0
42,mo_**343muf,31.2%,262403.6,0
43,mx_****394tn,54.73%,309449.79,1
44,mx_****289lq,-84.64%,30742.13,0
45,张家伟y,62.44%,324898.24,1
46,天府侠,-58.93%,82139.81,0
47,细致的晴雯2,-79.43%,41149.17,1
48,mx_*317kgf,53.82%,307649.21,0
49,mo_*5163pl,-70.79%,58410.73,0
50,女柚子之路,-69.07%,61868.45,0
51,股海金雕,-31.07%,137876.67,0
52,打开的,-9.02%,181964.27,0
53,pasdingle,-84.49%,31019.48,0
54,mt_*165qjx,18.44%,236879.17,10
55,mx_***090rtu,-66.49%,67031.28,0
56,谁和我组队,-93.09%,13828.9,0
57,拾蜡烛头的雨,25.77%,251558.18,0
58,mx_***630yes,-82.56%,34880.45,0
59,华尔街之狼88,-85.98%,28040.94,0
60,钓鱼抓嫖,-91.14%,17716.47,0
61,yk_**499yws,-57.82%,84366.24,2
63,zHvF,-19.54%,160922.08,1
64,只不过是数字,99.83%,399669.95,23
65,mx_**327h7o,93.96%,387911.16,8
66,FirePlanC,-4.34%,191317.98,2
67,HJS10111213,-49.86%,100285.1,6
68,天人合一5566,112.44%,424892.37,1
69,Alex1025,113.14%,426247.02,0
70,傅国顺,348.68%,897353.58,24
71,mx_**682nuf,57.21%,314414.26,1
72,AQTAB280280,36.1%,272157.93,6
73,mo_***495457,142.6%,485156.38,7
75,设置tomorrow,25.58%,251161.84,0
76,杭州皮件智者,-22.73%,154541.63,0
77,甜甜一笑而过,81.79%,363576.15,2
78,mx_****521ju,38.19%,276403.73,0
79,苟富貴的苟,-37.18%,125652.71,0
81,嘉凯,-17.24%,165521.93,0
82,啷个哩个啷B,-74.84%,50319.33,0
83,AQTAB300175,-29.14%,141719.61,2
84,可靠的马超,-67.54%,64901.99,1
85,图中自有黄金,42.45%,284899.45,1
87,mx_****4616s,-66.85%,66277.37,0
89,mo_***287nur,-12.48%,175032.67,0
90,mo_冷月,-81.43%,37146,0
91,简朴的玉官,54.16%,308322.6,0
92,mx_*886byb,-39.5%,121002.64,0
93,mo_**984hbv,-48.05%,103911.41,0
94,迷糊餐厅,-93.34%,13333.34,0
95,zz2014zz2014,1.45%,202900.23,0
96,股小T,-91.99%,16023.24,3
97,me_111417643,-21.05%,157903.58,6
98,周晓0,-48.61%,102782.91,1
99,thsguest_0ua,-40.41%,119167.22,1
100,源远流长0901,-82.51%,34968.96,0
